Wavelength,Flux,BestFit,SkyFlux
3800.144,26.221,27.581,0.000
3801.019,26.213,27.723,0.000
3801.894,26.204,27.683,7.587
3802.769,26.195,27.670,7.323
3803.645,28.013,27.621,7.091
3804.521,28.554,27.566,6.901
3805.397,27.988,27.689,6.743
3806.274,27.264,27.938,6.619
3807.150,34.145,27.732,6.533
3808.027,28.826,27.671,6.468
3808.904,26.520,27.989,6.430
3809.781,25.078,27.959,6.431
3810.658,25.653,27.714,6.450
3811.536,24.977,27.869,6.474
3812.414,22.457,27.822,6.521
3813.291,27.279,27.928,6.576
3814.170,23.229,27.906,6.662
3815.048,27.604,27.803,6.757
3815.926,31.238,27.895,6.855
3816.805,28.549,28.271,6.980
3817.684,23.695,28.480,7.080
3818.563,28.783,28.174,7.173
3819.443,34.109,28.136,7.276
3820.322,30.700,28.199,7.358
3821.202,29.604,28.026,7.403
3822.082,25.227,27.847,7.434
3822.962,29.684,28.274,7.308
3823.843,34.770,28.262,6.853
3824.723,26.517,28.057,5.991
3825.604,32.323,28.066,5.293
3826.485,28.575,28.220,5.375
3827.366,28.556,28.157,6.215
3828.247,35.953,27.884,7.844
3829.129,26.747,27.788,9.264
3830.011,27.283,27.979,10.382
3830.893,25.307,28.009,11.050
3831.775,22.775,27.811,11.694
3832.657,27.620,27.782,11.593
3833.540,24.039,28.027,10.542
3834.423,26.036,27.967,9.200
3835.306,31.082,27.877,8.403
3836.189,29.515,27.695,8.363
3837.072,26.190,27.634,8.442
3837.956,30.249,27.862,8.022
3838.840,34.051,27.670,7.252
3839.724,28.614,27.574,6.867
3840.608,32.068,27.625,7.095
3841.493,37.550,27.555,7.847
3842.377,31.657,27.555,8.594
3843.262,29.241,27.881,8.597
3844.147,30.973,27.873,7.998
3845.032,28.224,27.527,7.447
3845.918,24.310,27.609,7.649
3846.803,22.962,27.871,8.383
3847.689,28.757,27.743,8.470
3848.575,29.736,27.223,7.727
3849.462,25.404,27.198,7.209
3850.348,30.185,27.550,7.433
3851.235,28.646,27.413,7.909
3852.122,29.464,27.560,7.960
3853.009,34.258,27.922,7.361
3853.896,34.096,27.681,6.521
3854.784,34.940,27.447,6.045
3855.671,22.953,27.302,6.606
3856.559,27.147,27.743,7.972
3857.447,25.882,28.036,8.256
3858.336,26.255,27.956,7.207
3859.224,31.434,27.945,5.872
3860.113,26.615,27.884,5.436
3861.002,26.616,27.974,6.132
3861.891,33.023,28.122,7.271
3862.780,26.600,28.180,8.024
3863.670,30.004,28.100,8.100
3864.560,28.231,28.024,7.254
3865.449,31.406,28.175,5.973
3866.340,29.674,28.182,5.361
3867.230,28.867,28.235,5.643
3868.121,31.192,28.301,6.348
3869.011,31.924,28.311,6.819
3869.902,28.441,28.282,6.605
3870.793,26.199,28.219,5.997
3871.685,28.890,28.046,5.424
3872.576,25.888,28.484,5.477
3873.468,25.225,28.625,6.340
3874.360,27.690,28.332,7.737
3875.252,24.548,28.373,8.447
3876.145,17.676,28.506,8.312
3877.037,24.127,28.514,7.728
3877.930,32.472,28.492,7.195
3878.823,29.885,28.423,7.058
3879.717,28.583,28.346,7.232
3880.610,24.558,28.310,7.350
3881.504,32.240,28.185,7.124
3882.398,33.376,28.093,6.844
3883.292,33.314,28.528,7.106
3884.186,32.614,28.695,7.645
3885.080,28.037,28.471,7.887
3885.975,26.270,28.423,7.486
3886.870,29.055,28.282,6.964
3887.765,32.139,28.318,7.441
3888.660,35.252,28.443,9.069
3889.556,23.772,28.581,10.089
3890.451,30.635,28.635,9.249
3891.347,32.515,28.541,7.666
3892.243,32.397,28.438,6.920
3893.140,32.110,28.539,7.044
3894.036,32.095,28.462,7.357
3894.933,33.197,28.392,7.930
3895.830,33.222,28.385,8.757
3896.727,30.087,28.282,9.234
3897.625,28.934,28.234,9.274
3898.522,29.330,28.234,8.479
3899.420,30.665,28.211,7.610
3900.318,33.850,28.271,8.174
3901.216,33.286,28.261,9.183
3902.114,30.021,28.056,9.254
3903.013,32.074,28.132,9.692
3903.912,30.942,28.091,11.003
3904.811,23.605,28.357,12.459
3905.710,29.791,28.618,13.587
3906.609,30.706,28.530,13.952
3907.509,31.278,28.310,14.204
3908.409,26.817,28.546,15.225
3909.309,30.031,28.579,15.602
3910.209,27.553,28.463,15.271
3911.110,24.069,28.389,15.103
3912.010,27.351,28.366,16.005
3912.911,31.944,28.355,18.826
3913.812,31.106,28.500,23.352
3914.714,29.679,28.587,24.343
3915.615,29.360,28.648,19.575
3916.517,30.605,28.842,12.696
3917.419,36.109,29.041,8.845
3918.321,31.241,28.968,8.062
3919.223,29.373,28.799,8.046
3920.126,29.694,29.143,7.847
3921.029,29.935,29.096,7.347
3921.931,30.965,28.869,6.495
3922.835,27.693,28.870,5.631
3923.738,30.866,29.044,5.489
3924.642,32.061,29.086,5.934
3925.545,33.035,29.140,6.431
3926.449,29.931,29.146,6.414
3927.354,28.419,29.264,5.910
3928.258,26.310,29.217,5.298
3929.163,27.270,28.852,4.943
3930.067,30.583,29.161,4.959
3930.972,30.021,29.539,5.179
3931.878,28.755,29.521,5.296
3932.783,28.573,29.515,5.208
3933.689,27.363,29.619,5.020
3934.595,24.086,29.558,4.830
3935.501,24.408,29.523,4.687
3936.407,30.100,29.647,4.685
3937.314,31.019,29.544,4.850
3938.220,28.506,29.400,5.247
3939.127,28.619,29.399,6.042
3940.034,29.299,29.450,7.217
3940.942,33.394,29.454,8.187
3941.849,30.072,29.620,8.461
3942.757,29.478,29.543,8.362
3943.665,32.785,29.237,8.282
3944.573,33.495,29.301,8.118
3945.481,30.631,29.896,7.920
3946.390,26.735,29.697,8.062
3947.299,25.636,29.324,8.374
3948.208,27.432,29.455,8.351
3949.117,29.795,29.661,7.757
3950.026,33.666,29.698,7.158
3950.936,25.379,29.749,7.196
3951.846,30.134,29.816,7.703
3952.756,33.938,30.272,7.933
3953.666,31.116,29.942,7.398
3954.577,27.782,29.519,6.623
3955.487,31.264,29.801,6.136
3956.398,35.910,30.360,6.097
3957.309,32.606,30.010,6.598
3958.221,28.449,30.165,7.075
3959.132,31.770,30.552,6.995
3960.044,33.973,30.498,6.238
3960.956,30.510,30.280,5.912
3961.868,31.943,30.411,6.082
3962.780,32.932,30.145,5.867
3963.693,30.698,30.268,5.106
3964.606,28.693,30.277,4.541
3965.519,31.370,30.297,4.618
3966.432,33.215,30.473,4.971
3967.345,25.545,30.684,4.949
3968.259,28.143,30.875,4.628
3969.173,35.949,31.037,4.483
3970.087,29.548,31.396,4.696
3971.001,35.781,31.490,4.879
3971.915,34.445,31.392,4.796
3972.830,30.521,31.510,4.963
3973.745,28.502,31.444,5.622
3974.660,27.960,31.718,6.451
3975.575,32.746,31.803,6.993
3976.491,33.473,31.792,7.116
3977.407,31.354,31.879,7.185
3978.323,31.128,31.974,7.776
3979.239,33.088,31.921,8.610
3980.155,29.133,32.220,8.835
3981.072,32.264,32.388,8.310
3981.988,33.880,32.501,7.595
3982.905,33.951,32.677,7.181
3983.823,36.305,32.845,7.340
3984.740,33.479,32.977,7.623
3985.658,35.746,32.861,7.537
3986.576,34.690,32.680,7.049
3987.494,32.536,32.851,7.160
3988.412,36.389,33.326,7.769
3989.330,34.973,33.631,7.790
3990.249,36.424,33.637,6.942
3991.168,39.600,33.973,6.059
3992.087,36.884,33.825,5.998
3993.006,36.270,33.818,6.695
3993.926,44.637,34.156,7.450
3994.846,39.702,34.505,7.672
3995.766,37.178,35.257,7.183
3996.686,34.866,35.191,6.611
